"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
2202.10834362121,-7.72169675259078,0.384404635318734,-20.0874184209257,9.50787897560697e-90,2.15049206670278e-85,"LOC109505290"
8894.89126761969,-4.10064883777137,0.217932951737837,-18.8161028659138,5.57364703166706e-79,6.30323742811228e-75,"LOC105051082"
1879.92750445742,-4.92390324256575,0.274246613487175,-17.9542900455761,4.44225566189682e-72,2.51187346401956e-68,"LOC109504909"
2853.19838853188,-3.789481624205,0.220764187544605,-17.1652914648547,4.83052075061271e-66,2.18513436674717e-62,"LOC105044000"
2903.20870936024,-3.61129983402844,0.22327472710336,-16.1742436364357,7.66330819265318e-59,2.47612435287757e-55,"LOC105046565"
23347.0775677058,-3.32531266933949,0.207733431142196,-16.0075951716374,1.13097361501389e-57,3.19754515304801e-54,"LOC105044125"
1121.58132511913,-3.60546421523731,0.23522350986644,-15.3278225347649,4.98416110568056e-53,1.12731755888283e-49,"LOC105059508"
2637.0087053369,-4.45364936384394,0.294841738925361,-15.1052201091901,1.49606002458683e-51,3.07617142146409e-48,"LOC105039108"
1926.36347336622,-4.91293080191596,0.328802974588924,-14.9418684793171,1.75971034801567e-50,2.74963915038403e-47,"LOC105038152"
6993.13902255754,-3.05051301380825,0.204191178620312,-14.939494616859,1.823529368457e-50,2.74963915038403e-47,"LOC105049536"
13345.2041511324,-3.77385867386936,0.25522136987715,-14.7866092705556,1.7873370951599e-49,2.52662440114542e-46,"LOC140858491"
1650.60659106788,-3.39049140472154,0.233051693295526,-14.5482375895985,5.99271500814907e-48,7.97313106201857e-45,"LOC105059033"
503.592105307543,-4.03727365400147,0.290279020936041,-13.9082515883606,5.64423632291687e-44,6.7190177448281e-41,"LOC105048693"
1174.44363773342,-3.58245486702201,0.261860373696369,-13.6807826875552,1.32261336014766e-42,1.49574344899098e-39,"LOC105032024"
1218.5325934363,-2.81408560123025,0.223468949338603,-12.5927365280906,2.31505987724145e-36,2.01392401167104e-33,"LOC105056077"
1777.23182432597,-3.87868053396684,0.308540434397629,-12.5710607153947,3.04609395590866e-36,2.46059118195507e-33,"LOC105038191"
3287.54085014298,-3.39076631219534,0.272278922037263,-12.4532824165188,1.34209774028365e-35,1.01185222299119e-32,"LOC105041643"
4396.96719029897,-2.51822019796752,0.204247383550216,-12.3292653947187,6.30186066759544e-35,4.59791885740883e-32,"LOC105052980"
1628.70710321777,-4.2678228524132,0.350331038773123,-12.1822572940135,3.86436179936247e-34,2.73137922431189e-31,"LOC105051322"
276.556390994653,-5.41929522190548,0.458651173636198,-11.8157230012978,3.23751708324427e-32,2.21897458753996e-29,"LOC105050253"
4854.25465862616,-2.34976734474546,0.206635964732637,-11.3715313197573,5.79616810554085e-30,3.54318189759792e-27,"LOC105035104"
370.02300841018,-4.21060925237646,0.371122736466666,-11.3455976652475,7.79915349417457e-30,4.64213825608528e-27,"LOC105058076"
784.565239047094,-2.9207088764208,0.258689156230662,-11.2904186591282,1.46337963530555e-29,8.48685143367718e-27,"LOC105043427"
399.206565613701,-4.87450155278721,0.437031428409606,-11.1536636404524,6.87175258791388e-29,3.6145418612427e-26,"LOC105056442"
10223.0257516333,-2.28116032168122,0.209584472949419,-10.884204777096,1.37089881745043e-27,6.45978946939453e-25,"LOC105041573"
1455.12279355824,-2.39778018698546,0.221674975520089,-10.816648028763,2.87085755599277e-27,1.32516441227438e-24,"LOC105046561"
387.776829514282,-3.2022227430392,0.297068239098796,-10.779418064865,4.30601232712288e-27,1.94786773629731e-24,"LOC105047077"
1243.54847438876,-2.90076461399538,0.271434390021652,-10.686798433183,1.17352189037108e-26,5.20445453263003e-24,"LOC105052156"
371.879915491233,-4.24435849888529,0.398038782893683,-10.663178266272,1.51335619437924e-26,6.55564821561952e-24,"LOC105047459"
1055.88419825407,-2.9237453445436,0.274226564918442,-10.661787436287,1.5361630357584e-26,6.55564821561952e-24,"LOC105040205"
1611.97850710613,-2.29049317611708,0.216856964914644,-10.5622301641021,4.45939178334521e-26,1.76951795360881e-23,"LOC105048096"
2049.53248360957,-2.26296002624397,0.214861852630362,-10.5321628690275,6.14070591255152e-26,2.35407603949306e-23,"LOC105055726"
1222.14600457361,-2.41457906236685,0.22938627824654,-10.5262576332997,6.53824203498808e-26,2.46469930578934e-23,"LOC105032278"
1367.04798523122,-2.25821820124022,0.21633547265484,-10.4385017099954,1.65400573655236e-25,6.13283635235102e-23,"LOC105047639"
6087.79818574421,-2.18694035538152,0.21004899226524,-10.4115727088086,2.19563989592651e-25,8.00983599452673e-23,"LOC105050692"
1076.30497224246,-2.85733071512619,0.274609420723011,-10.405071710953,2.35079030736929e-25,8.30783987063728e-23,"LOC105047849"
358.562158729457,-3.33841658434632,0.322335601270242,-10.3569589309728,3.89137863528208e-25,1.31365973093746e-22,"LOC105060757"
3610.64519804298,-2.2680076502761,0.219543289785387,-10.3305714899926,5.12543010126154e-25,1.6801011308744e-22,"LOC105040594"
2878.27606200314,-2.53037430356847,0.245190551949254,-10.3200318423859,5.72041832104781e-25,1.84834887979228e-22,"LOC105057176"
5374.44279484359,-2.0835873112634,0.202536511612161,-10.2874651818497,8.02614520061467e-25,2.52132433538198e-22,"LOC105049870"
163.011113737572,-5.44330426832097,0.531369631501067,-10.2439129856634,1.26033573342797e-24,3.85219913765861e-22,"LOC105059622"
872.158648503623,-2.72368529424864,0.266471338060918,-10.2213067794405,1.59180333745201e-24,4.80045438486528e-22,"LOC105038205"
10455.7879371582,-1.95204804974134,0.192056204983836,-10.1639415915025,2.87224512415609e-24,8.54795266028454e-22,"LOC105046895"
1658.34470451581,-2.29528479747347,0.226789393140353,-10.1207766628353,4.46855517217812e-24,1.29576642159391e-21,"LOC140857134"
467.802275044355,-2.85466320104241,0.282299161857893,-10.1121915568401,4.87806690421371e-24,1.39660907898109e-21,"LOC105059017"
365.481065473926,-3.32949534648549,0.329304413527975,-10.1106915355771,4.95333938318753e-24,1.4004328771117e-21,"LOC105047508"
5232.09702880301,-2.15098029704213,0.213897881662461,-10.0561084585048,8.63442010101208e-24,2.3816257785938e-21,"LOC140850811"
1859.86908525872,-2.11378588834897,0.21130269387577,-10.0035917648627,1.46967722665591e-23,4.00495897741005e-21,"LOC105035990"
4382.79966895307,-2.65203988014068,0.265418691841333,-9.99191074954912,1.65362982455881e-23,4.45259516331799e-21,"LOC105041939"
