"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","Direction"
33.4400270013212,8.61443899506787,1.60570328393276,5.36490090122316,8.09936748208356e-08,2.50603958563291e-06,"LOC105055156","Up"
794.817116770946,8.02414518821464,1.49139012198971,5.38031268271333,7.43565733802805e-08,2.32292400098782e-06,"LOC105055832","Up"
21.9557601295387,8.010025268369,1.70274094951853,4.70419488685813,2.54869704951357e-06,5.41789754378739e-05,"LOC105044577","Up"
99.5448534731246,7.81369640481504,1.19014790931154,6.56531540633047,5.19228394018447e-11,2.94333529220783e-09,"LOC105053164","Up"
14.0200282473683,7.36141962026297,1.79108570600477,4.11003203006041,3.95604239610979e-05,0.000609521572991903,"LOC105056605","Up"
13.4277618624843,7.29387302708007,1.79151335597292,4.07134727897073,4.67420031241792e-05,0.000705748081884302,"LOC105039671","Up"
32.5795769710314,7.15799189020965,1.5493487279268,4.62000049516797,3.83739128164876e-06,7.89755377691826e-05,"LOC105047887","Up"
67.2807445141897,7.14873573955377,1.16574045138872,6.13235624708542,8.65869385750144e-10,3.89348583834926e-08,"LOC105032276","Up"
121.250312566413,7.09869958875711,0.860728040536916,8.24732000636229,1.61986219014308e-16,2.00207885336919e-14,"LOC105041695","Up"
10.979116043941,7.00620412293804,1.85955734195363,3.7676730719029,0.000164776299032507,0.00207651464028965,"LOC105053166","Up"
1132.06002542796,6.97682343965339,1.05620176283484,6.60557829493448,3.95968565835941e-11,2.30825180981374e-09,"LOC105045973","Up"
10.6556122052146,6.96109289247016,1.86899534115812,3.7245105641391,0.000195694517839651,0.00240880482955433,"LOC105036887","Up"
10.5112833972599,6.94283636223081,1.87467975454198,3.7034786050309,0.000212663124454377,0.00258047990821303,"LOC105033657","Up"
10.4366470349392,6.94008776173823,2.04193854536593,3.39877406080041,0.000676886087494657,0.00677336230448906,"LOC105040457","Up"
10.4042727704656,6.92390954175985,1.88577572623554,3.67165058147271,0.000240989020223189,0.00287180698598951,"LOC105046533","Up"
980.998817314559,6.86909014809003,0.368217548244984,18.6549776913942,1.15050194835419e-77,8.67401768929171e-74,"LOC105036436","Up"
9.17994986119395,6.74465793922094,1.9303920250377,3.49393172564998,0.000475962723275262,0.00511659927520907,"LOC105042228","Up"
47.7970766806361,6.74456959710268,1.18601081127797,5.68676906902322,1.29465335826296e-08,4.67771080785809e-07,"LOC105031978","Up"
24.9108319311735,6.71867137642395,1.62058836947749,4.14582228464973,3.38596375162179e-05,0.000533312870015193,"LOC140859101","Up"
8.63995281053548,6.65719324365752,1.95649747613343,3.40260763168166,0.000667460594929655,0.00669473336413257,"LOC105032675","Up"
8.31644897180907,6.59958429916863,1.98594417666634,3.32314693268311,0.000890080178771697,0.00849086186565088,"LOC140858133","Up"
8.26170767924021,6.59394314614673,1.97440698010604,3.33970818204492,0.000838664655626908,0.00810079470117119,"LOC140852582","Up"
8.13727394103737,6.56454702890688,2.05066307104661,3.20118264262519,0.00136864748540307,0.0119578537937884,"LOC105043120","Up"
8.06263757871665,6.56447039038256,2.00783442355015,3.26942815273363,0.00107765101191138,0.00991631838381273,"LOC105053432","Up"
8.06263757871665,6.56447039038256,2.00783442355015,3.26942815273363,0.00107765101191138,0.00991631838381273,"LOC114914777","Up"
7.84861632512796,6.51505889306211,2.02130460361703,3.22319500059699,0.00126769221508609,0.0112795682615331,"LOC105042796","Up"
7.64954622460439,6.48394860766901,2.01075048742117,3.22464107219231,0.00126130695880107,0.0112387684118764,"LOC105045343","Up"
7.59480493203553,6.4777889948032,2.03186570690686,3.18809898350242,0.00143211503083456,0.0123868366223388,"LOC105057841","Up"
7.55995870921854,6.46454438889035,2.01853213717455,3.20259671363922,0.00136194560107383,0.011925855828528,"LOC105059497","Up"
38.6669241953242,6.45285197573181,1.25130162334472,5.15691169526607,2.51056125832025e-07,6.88289388371968e-06,"LOC105057120","Up"
7.41562990126384,6.4387221808635,2.02576496307107,3.17841521511082,0.0014808252016149,0.0127157571792429,"LOC105044314","Up"
7.41562990126384,6.4387221808635,2.02576496307107,3.17841521511082,0.0014808252016149,0.0127157571792429,"LOC105044616","Up"
6.83831466944501,6.32958458602434,2.13197138976251,2.96888814569384,0.00298879369290808,0.0225035072390796,"LOC105048079","Up"
6.22615321480919,6.19557233426803,2.23536154134797,2.77161981168021,0.00557781411695962,0.0366102726922207,"LOC105042181","Up"
357.278348264495,6.1838043498639,0.525943087098343,11.7575541946568,6.45779510350344e-32,4.29595322503061e-29,"LOC105050826","Up"
6.1564607691752,6.16481213366388,2.14558913083426,2.8732491440553,0.00406273582566771,0.0287428710994533,"LOC140850963","Up"
6.04697818403749,6.14948972452795,2.15653700939602,2.85155770466013,0.0043505588944875,0.030314522820554,"LOC105034249","Up"
16.5271624720738,6.10935912024514,1.65327926301809,3.69529773759601,0.000219629263052562,0.002651729085986,"LOC105045749","Up"
5.86780315326579,6.10023681549571,2.15290113165941,2.83349603276663,0.00460418794709122,0.0317177908618725,"LOC105049114","Up"
28.7727461693869,6.01962774950475,1.27208536176529,4.73209418993016,2.22215249999573e-06,4.79586309588772e-05,"LOC105036621","Up"
5.41739361799317,5.98849802012992,2.20697238802922,2.71344492237962,0.00665876363754758,0.0421398757565896,"LOC105033688","Up"
5.25564169862997,5.94283440084285,2.2209768226561,2.67577506447623,0.00745566650098094,0.0459382172947469,"LOC105058895","Up"
40.5089313766701,5.93981012406875,1.07730632877956,5.51357581905022,3.51615458210743e-08,1.17298501973607e-06,"LOC105038470","Up"
